inputText,targetArtifactId,targetCategory,targetWorkspace,targetPack,targetProduct,labelType,confidence
A-a Gradient,aa-gradient,Calculator,clinical|calculator|operations,core-platform,product-core-platform,name,0.92
/tools/calculators/aa-gradient,aa-gradient,Calculator,clinical|calculator|operations,core-platform,product-core-platform,route,0.9
calculator|Calculator|clinical|operations|core-platform,aa-gradient,Calculator,clinical|calculator|operations,core-platform,product-core-platform,tags,0.78
"Alveolar-arterial oxygen gradient from ABG values and FiO2 assumptions. Does not diagnose PE, shunt, V/Q mismatch, or respiratory failure.",aa-gradient,Calculator,clinical|calculator|operations,core-platform,product-core-platform,intent,0.88
ABCD² score,abcd2,Calculator,emergency|clinical|calculator,emergency-medicine|emergency-department-pack,product-emergency-department,name,0.92
/tools/calculators/abcd2,abcd2,Calculator,emergency|clinical|calculator,emergency-medicine|emergency-department-pack,product-emergency-department,route,0.9
calculator|Calculator|emergency|clinical|emergency-medicine|emergency-department-pack,abcd2,Calculator,emergency|clinical|calculator,emergency-medicine|emergency-department-pack,product-emergency-department,tags,0.78
"ABCD² score for short-term stroke risk after TIA: age, blood pressure, clinical features, duration, diabetes (0–7).",abcd2,Calculator,emergency|clinical|calculator,emergency-medicine|emergency-department-pack,product-emergency-department,intent,0.88
ABG Interpreter,abg-interpreter,Diagnostic,clinical|diagnostic|laboratory,laboratory-intelligence,product-laboratory,name,0.92
/tools/lab-interpreter,abg-interpreter,Diagnostic,clinical|diagnostic|laboratory,laboratory-intelligence,product-laboratory,route,0.9
tool|Diagnostic|clinical|diagnostic|laboratory|laboratory-intelligence,abg-interpreter,Diagnostic,clinical|diagnostic|laboratory,laboratory-intelligence,product-laboratory,tags,0.78
ABG and acid–base interpretation support (Lab Interpreter page) — clinical decision support only; does not establish a diagnosis.,abg-interpreter,Diagnostic,clinical|diagnostic|laboratory,laboratory-intelligence,product-laboratory,intent,0.88
ACLS Protocol,acls-protocol,Calculator,simulation|education|clinical|training|cardiology|pharmacy|calculator|assistant|ai-workflow|operations|laboratory,ai-workflow-pack|core-platform|cardiology-pack|laboratory-intelligence|simulation-training-pack,product-core-platform|product-cardiology|product-laboratory|product-simulation-training,name,0.92
/protocols,acls-protocol,Calculator,simulation|education|clinical|training|cardiology|pharmacy|calculator|assistant|ai-workflow|operations|laboratory,ai-workflow-pack|core-platform|cardiology-pack|laboratory-intelligence|simulation-training-pack,product-core-platform|product-cardiology|product-laboratory|product-simulation-training,route,0.9
tool|Calculator|simulation|education|clinical|training|cardiology|pharmacy|calculator|assistant|ai-workflow|operations|laboratory|ai-workflow-pack|core-platform|cardiology-pack|laboratory-intelligence|simulation-training-pack,acls-protocol,Calculator,simulation|education|clinical|training|cardiology|pharmacy|calculator|assistant|ai-workflow|operations|laboratory,ai-workflow-pack|core-platform|cardiology-pack|laboratory-intelligence|simulation-training-pack,product-core-platform|product-cardiology|product-laboratory|product-simulation-training,tags,0.78
Resuscitation algorithms.,acls-protocol,Calculator,simulation|education|clinical|training|cardiology|pharmacy|calculator|assistant|ai-workflow|operations|laboratory,ai-workflow-pack|core-platform|cardiology-pack|laboratory-intelligence|simulation-training-pack,product-core-platform|product-cardiology|product-laboratory|product-simulation-training,intent,0.88
ACS Workflow Assistant,acs-workflow-assistant,Calculator,cardiology|clinical|calculator|assistant|ai-workflow|operations,ai-workflow-pack|core-platform|cardiology-pack,product-core-platform|product-cardiology,name,0.92
/tools/cardiology/acs-workflow-assistant,acs-workflow-assistant,Calculator,cardiology|clinical|calculator|assistant|ai-workflow|operations,ai-workflow-pack|core-platform|cardiology-pack,product-core-platform|product-cardiology,route,0.9
ai-assisted-tool|Calculator|cardiology|clinical|calculator|assistant|ai-workflow|operations|ai-workflow-pack|core-platform|cardiology-pack,acs-workflow-assistant,Calculator,cardiology|clinical|calculator|assistant|ai-workflow|operations,ai-workflow-pack|core-platform|cardiology-pack,product-core-platform|product-cardiology,tags,0.78
"ACS workflow support across ECG review, serial biomarkers, risk score selection, and reassessment checkpoints.",acs-workflow-assistant,Calculator,cardiology|clinical|calculator|assistant|ai-workflow|operations,ai-workflow-pack|core-platform|cardiology-pack,product-core-platform|product-cardiology,intent,0.88
Adjusted Body Weight,adjusted-body-weight,Calculator,pharmacy|clinical|calculator|laboratory,laboratory-intelligence,product-laboratory,name,0.92
/tools/calculators/adjusted-body-weight,adjusted-body-weight,Calculator,pharmacy|clinical|calculator|laboratory,laboratory-intelligence,product-laboratory,route,0.9
calculator|Calculator|pharmacy|clinical|laboratory|laboratory-intelligence,adjusted-body-weight,Calculator,pharmacy|clinical|calculator|laboratory,laboratory-intelligence,product-laboratory,tags,0.78
"Adjusted body weight estimate from actual weight, ideal body weight, and correction factor. Not dosing automation.",adjusted-body-weight,Calculator,pharmacy|clinical|calculator|laboratory,laboratory-intelligence,product-laboratory,intent,0.88
AI Artifacts,ai-artifacts,AI System,admin|iot|operations|hospital-operations|assistant|ai-workflow|clinical|medical-iot|maps,ai-workflow-pack|core-platform|medical-iot-pack|hospital-operations|digital-twin-pack,product-core-platform|product-medical-iot|product-hospital-operations|product-digital-twin,name,0.92
